hostel_name,city,price_from,distance__km_from_city_centre,summary_score,rating_band,atmosphere,cleanliness,facilities,location_score,security,staff,valueformoney,lon,lat
"""Bike&Bed""CharincoHostel",Osaka,3300,2.9,9.2,Superb,8.9,9.4,9.3,8.9,9.0,9.4,9.4,135.5137671,34.682678
&AndHostel,Fukuoka-City,2600,0.7,9.5,Superb,9.4,9.7,9.5,9.7,9.2,9.7,9.5,133.9283013,34.47060534
&AndHostelAkihabara,Tokyo,3600,7.8,8.7,Fabulous,8.0,7.0,9.0,8.0,10.0,10.0,9.0,139.7774724,35.6974473
&AndHostelUeno,Tokyo,2600,8.7,7.4,VeryGood,8.0,7.5,7.5,7.5,7.0,8.0,6.5,139.783667,35.712716
&AndHostel-AsakusaNorth-,Tokyo,1500,10.5,9.4,Superb,9.5,9.5,9.0,9.0,9.5,10.0,9.5,139.7983712,35.7278979
1Night1980HostelTokyo,Tokyo,2100,9.4,7.0,VeryGood,5.5,8.0,6.0,6.0,8.5,8.5,6.5,139.7869499,35.724384
328Hostel&Lounge,Tokyo,3300,16.5,9.3,Superb,8.7,9.7,9.3,9.1,9.3,9.7,8.9,139.7454672,35.5480439
36Hostel,Hiroshima,2000,1.6,9.5,Superb,8.8,9.9,9.2,9.6,9.8,9.8,9.5,135.88945357999998,35.02014538
AceInnShinjuku,Tokyo,2200,3.0,7.7,VeryGood,6.7,7.2,6.8,8.5,7.8,8.5,8.1,139.7243036,35.6925119
AirOsakaHostel,Osaka,1600,9.7,9.2,Superb,9.5,9.1,8.7,8.8,8.9,9.8,9.5,135.4769556,34.6222596
AizuyaInn,Tokyo,2000,10.6,8.5,Fabulous,8.1,8.3,8.4,7.8,8.9,9.1,8.9,139.800993,35.727547
AkihabaraHotel3000,Tokyo,2200,8.0,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,139.779382,35.6974904
AlmondHostel&CafeShibuya,Tokyo,2900,2.2,9.3,Superb,9.1,9.5,8.8,9.5,9.4,9.7,9.0,139.6875352,35.6700092
AnneHostelAsakusabashi,Tokyo,2000,8.9,9.1,Superb,8.8,9.2,8.7,9.0,9.1,9.5,9.2,139.7893595,35.6989448
AnneHostelYokozuna,Tokyo,1800,9.5,9.1,Superb,8.8,9.1,9.0,9.2,9.3,9.3,9.2,139.7967977,35.6954897
ArkHostel,Osaka,2700,1.9,9.0,Superb,8.7,9.2,8.9,8.8,9.1,9.2,9.0,103.8731349,1.3108203
Artnshelter,Tokyo,2400,10.5,8.3,Fabulous,8.2,8.1,7.7,7.9,9.1,9.0,8.3,139.742108,35.604242
AsHouse(AsakusaSmile),Tokyo,1600,10.0,7.8,VeryGood,7.9,6.2,7.0,9.0,8.2,8.0,8.3,139.800616,35.707363
AsakusaHostelToukaisou,Tokyo,1300,9.3,8.9,Fabulous,7.9,9.4,8.3,9.5,9.2,8.9,9.2,139.79081,35.713177
AsakusaRyokanToukaisou,Tokyo,3600,9.3,8.7,Fabulous,8.0,8.4,8.4,8.8,8.8,9.4,8.8,139.79081,35.713177
AsakusahotelWasou,Tokyo,2000,9.9,9.4,Superb,8.7,9.3,9.0,9.7,10.0,10.0,9.3,139.7966971,35.7118769
AstroStation,Tokyo,3500,3.8,8.4,Fabulous,7.1,9.1,8.0,9.7,7.1,8.6,8.9,139.7036929,35.7143962
B&SEcoCubeShinsaibashi,Osaka,2600,4.0,8.6,Fabulous,7.5,9.0,8.0,8.5,10.0,8.0,9.0,135.4991771,34.6707458
BackpackersHostelK'SHouseHiroshima,Hiroshima,2600,1.9,9.4,Superb,9.0,9.5,9.2,9.4,9.5,9.7,9.3,132.473831,34.392506
BackpackersHostelK'SHouseKyoto,Kyoto,1800,2.4,9.2,Superb,9.0,9.3,9.2,9.1,9.5,9.4,9.1,135.764916,34.989791
BackpackersHostelK'SHouseTokyo,Tokyo,2100,9.2,9.2,Superb,9.1,9.3,9.0,8.6,9.5,9.6,9.0,139.792253,35.705066
BackpackersHotelToyoOsaka,Osaka,1500,6.5,8.8,Fabulous,8.1,8.2,8.5,8.9,9.3,9.3,9.3,135.5041024,34.6483651
BackstageOsakaHostel&Bar,Osaka,2200,4.5,8.8,Fabulous,8.8,8.2,8.1,9.5,8.6,9.3,9.2,135.513299,34.6670083
BeagleTokyoHostel&Apartments,Tokyo,3800,16.1,9.0,Superb,8.0,10.0,9.0,8.0,9.0,9.0,10.0,139.7410778,35.5504924
BedStock,Fukuoka-City,2500,1.1,8.9,Fabulous,8.6,9.9,8.1,9.4,8.9,9.0,8.6,133.98116048000003,34.5387286
BeehiveHostelOsaka,Osaka,2900,3.4,9.1,Superb,8.8,9.2,8.7,8.8,9.5,9.7,9.2,135.508387,34.676892
BigtreeGuesthouse,Osaka,2900,36.6,9.6,Superb,9.3,9.8,9.3,9.1,10.0,10.0,9.3,135.3233376,34.4119443
BirdHostel,Kyoto,2700,1.1,9.3,Superb,8.9,9.5,9.5,9.4,9.2,9.5,9.4,135.7587254,35.0175416
Bnb+NinjaDojoUeno,Tokyo,2500,8.0,5.2,,4.0,3.3,4.0,8.7,5.3,4.7,6.7,138.0728517,35.29190192
Bnb+ShinjukuCastle,Tokyo,2500,1.3,5.0,,2.7,4.0,3.3,7.3,5.3,5.3,6.7,135.39270549999998,34.72730142
BonfireHostelOsaka,Osaka,1800,9.5,9.2,Superb,7.6,9.6,10.0,8.0,9.6,10.0,9.6,135.506891,34.621308
BonsaiGuestHouse,Osaka,1800,5.9,8.7,Fabulous,7.5,9.1,8.4,9.5,8.9,8.9,8.8,137.33140551999998,35.22670802
BookAndBedTokyo-Kyoto,Kyoto,3800,0.9,9.1,Superb,9.0,10.0,8.5,9.5,8.5,10.0,8.0,135.7727965,35.0041178
BookAndBedTokyoAsakusa,Tokyo,4100,9.6,9.1,Superb,8.7,9.7,8.6,9.4,9.5,9.3,8.6,139.7949806,35.7107965
BookAndBedTokyoFukuoka,Fukuoka-City,4300,0.3,8.6,Fabulous,8.0,10.0,6.0,10.0,8.0,10.0,8.0,130.3979662,33.5909933
BookAndBedTokyoIkebukuro,Tokyo,4100,4.9,8.2,Fabulous,8.9,8.0,8.0,9.1,7.7,8.6,7.4,139.7085388,35.7310808
BunkaHostelTokyo,Tokyo,2200,9.5,9.3,Superb,8.8,9.3,9.3,9.5,9.4,9.8,9.2,139.79322,35.712108
CapsuleHotelAsahiPlazaShinsaibashi,Osaka,3000,4.0,9.9,Superb,10.0,10.0,10.0,10.0,10.0,10.0,9.0,135.497847,34.6707858
CapsuleInnKinshichou,Tokyo,2600,10.9,8.6,Fabulous,6.0,10.0,8.0,8.0,10.0,8.0,10.0,139.81198,35.6981223
CapsuleResortKyotoSquare,Kyoto,3100,1.3,9.6,Superb,9.1,10.0,9.6,10.0,9.8,9.8,9.1,135.7535562,35.0112333
CapsuleValueKanda,Tokyo,3000,7.1,8.6,Fabulous,8.0,8.7,7.3,9.3,8.7,9.3,8.7,139.7707637,35.6895954
CasaMacondo,Osaka,3000,5.0,6.9,Good,6.5,6.5,7.5,7.0,7.0,6.5,7.0,137.83904738,35.4971083
CenturionCabin&SpaKyoto,Kyoto,2500,1.1,8.9,Fabulous,7.9,9.6,9.1,9.6,8.9,8.5,8.6,135.761618,35.003533
CenturionHotelResidentialAkasaka,Tokyo,2600,4.5,9.0,Superb,7.5,9.3,9.3,9.3,9.5,8.9,9.0,139.7376971,35.6738463
CenturionLadiesHostelUenopark(FemaleOnly),Tokyo,2500,7.4,8.9,Fabulous,7.7,8.9,9.1,9.1,9.3,8.9,9.3,139.770129,35.709199
Chaganjutei,Kyoto,3300,14.1,9.6,Superb,10.0,10.0,9.0,9.0,9.0,10.0,10.0,135.8007905,34.8876476
CitanHostel,Tokyo,2500,8.1,9.4,Superb,9.3,9.8,9.5,9.1,9.5,9.6,9.3,139.781352,35.691571
CocoHostelOsaka,Osaka,2100,4.7,8.5,Fabulous,7.2,9.2,8.0,9.8,8.2,8.8,8.2,135.508221,34.6644243
Colours,Kyoto,1600,1.8,8.9,Fabulous,4.0,10.0,10.0,8.0,10.0,10.0,10.0,136.45209156,35.0094112
Comics&CapsulehotelComicapKyotoshinkyogoku,Kyoto,2000,0.7,9.6,Superb,9.1,9.8,9.8,9.8,9.4,9.3,9.7,135.7676061,35.0053862
CommonDeHostel&Bar,Fukuoka-City,2500,0.8,9.9,Superb,10.0,10.0,10.0,9.0,10.0,10.0,10.0,130.4032209,33.5978245
DaikokuHostel,Osaka,2800,5.8,8.0,Fabulous,6.0,8.0,8.0,8.0,9.0,9.0,8.0,135.4971528,34.6550004
DotomboriBase,Osaka,2500,4.3,8.7,Fabulous,8.6,8.3,7.7,9.7,8.6,9.4,8.9,135.5052683,34.6678045
DowntownInnKyoto,Kyoto,1000,1.4,9.3,Superb,8.9,9.7,9.7,9.1,9.1,8.6,9.7,135.755182,35.0052769
DropInnOsaka,Osaka,2800,1.4,8.8,Fabulous,8.3,9.5,9.0,8.3,9.1,8.5,8.7,135.4886189,34.7001589
EdoTokyoHostel,Tokyo,1800,15.8,8.1,Fabulous,8.0,8.5,8.0,7.5,7.0,8.5,9.0,139.8638707,35.7129526
EmblemHostelNishiarai,Tokyo,2000,13.3,9.3,Superb,9.5,9.8,9.7,7.4,9.8,9.8,9.5,139.791216,35.7782
EnakaAsakusaCentralHostel,Tokyo,2600,9.7,9.3,Superb,8.9,9.8,9.3,9.6,9.6,9.1,8.9,139.795301,35.7121845
EzstayOsaka,Osaka,2000,4.6,3.1,,2.0,2.0,2.0,4.0,6.0,2.0,4.0,135.535271,34.6757318
FairfieldHouse,Kyoto,1700,1.9,9.3,Superb,9.1,9.6,9.4,8.7,9.3,9.6,9.7,135.76303117999998,34.999485459999995
Family&BakpakTokyoHostel,Tokyo,1800,9.8,7.4,VeryGood,6.5,6.5,7.5,7.5,8.5,6.5,9.0,139.79148,35.72369
FriendsKyo,Kyoto,2200,1.2,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,135.7718,35.001371
FukuokaBackpackersHostel,Fukuoka-City,2300,2.5,8.3,Fabulous,7.5,8.6,8.0,8.2,8.8,8.9,8.1,130.428142,33.584119
FukuokaHanaHostel,Fukuoka-City,2500,0.8,9.0,Superb,8.3,9.2,8.8,9.5,9.0,9.3,9.0,130.4097719,33.5926482
FuntocoBackpackersmba,Osaka,2300,5.5,9.3,Superb,8.9,9.6,9.0,9.0,9.5,10.0,9.4,135.503623,34.656784
GionRyokanQ-Beh,Kyoto,2800,1.5,9.5,Superb,9.0,9.8,9.5,9.8,9.3,9.5,9.6,135.7795363,35.0014418
GoenLounge＆Stay,Osaka,2000,18.2,8.9,Fabulous,8.0,10.0,10.0,6.0,8.0,10.0,10.0,135.6505111,34.815565
GojoGuestHouse,Kyoto,2000,1.9,9.5,Superb,9.6,9.5,8.8,9.6,9.3,10.0,9.8,135.7722097,34.9954879
GojoGuesthouse-Annex,Kyoto,2500,1.7,9.6,Superb,8.7,10.0,9.3,9.3,10.0,10.0,10.0,135.775803,34.998209
GoodDinerInnCopain,Tokyo,3300,5.6,9.1,Superb,9.5,9.5,9.5,8.0,9.0,10.0,8.5,139.7182582,35.7346756
GridsKyotoShijoKawaramachiHotel&Hostel,Kyoto,1800,1.0,9.7,Superb,8.9,10.0,9.5,10.0,10.0,9.8,9.8,135.764823,35.004678
GridsTokyoAkihabaraHotel&Hostel,Tokyo,2400,8.0,8.7,Fabulous,7.8,9.4,8.7,8.7,8.8,8.7,8.7,139.780326,35.696562
